team_name,player_name,maps_played,rounds_played,kd_diff,kd_ratio,rating
Vitality,ZywOo,51,1074,+257,1.40,1.34
Vitality,ropz,51,1074,+185,1.30,1.21
Vitality,flameZ,51,1074,+34,1.05,1.10
Vitality,mezii,51,1074,+79,1.12,1.09
Vitality,apEX,51,1074,-25,0.96,1.03
Spirit,donk,31,673,+208,1.47,1.45
Spirit,sh1ro,31,673,+159,1.43,1.24
Spirit,zont1x,31,673,+12,1.03,1.07
Spirit,chopper,31,673,-116,0.74,0.84
Spirit,magixx,31,673,+7,1.02,1.00
Falcons,m0NESY,49,1088,+227,1.35,1.22
Falcons,NiKo,49,1088,+53,1.07,1.10
Falcons,TeSeS,49,1088,+2,1.00,1.05
Falcons,kyxsan,49,1088,-95,0.87,0.95
Falcons,Magisk,49,1088,-32,0.95,0.99
Virtus.pro,FL1T,36,786,+54,1.11,1.09
Virtus.pro,fame,36,786,-6,0.99,1.01
Virtus.pro,ICY,36,786,+75,1.17,1.01
Virtus.pro,electroNic,36,786,-89,0.84,0.92
Virtus.pro,Perfecto,4,96,-11,0.83,0.87
GamerLegion,REZ,40,852,+30,1.05,1.10
Virtus.pro,FL4MUS,32,690,-61,0.87,0.89
GamerLegion,PR,40,852,-3,0.99,1.07
GamerLegion,Tauson,40,852,+11,1.02,0.99
GamerLegion,Kursy,8,160,+4,1.04,0.96
GamerLegion,ztr,40,852,-91,0.85,0.90
GamerLegion,acoR,14,304,-17,0.91,0.88
GamerLegion,sl3nd,18,388,-57,0.78,0.82
FaZe,frozen,36,809,+69,1.14,1.11
FaZe,EliGE,36,809,+31,1.06,1.10
FaZe,rain,29,651,+7,1.02,1.04
Lynn Vision,z4kr,47,1053,+89,1.14,1.08
FaZe,broky,14,336,+17,1.08,1.00
FaZe,karrigan,36,809,-117,0.79,0.89
FaZe,s1mple,22,473,+41,1.14,1.12
FaZe,skullz,7,158,-27,0.75,0.85
Lynn Vision,Starry,47,1053,-33,0.95,1.00
Lynn Vision,Westmelon,47,1053,-76,0.90,0.99
Lynn Vision,EmiliaQAQ,47,1053,-70,0.91,0.96
Lynn Vision,C4LLM3SU3,47,1053,-83,0.88,0.92
ECLOT,forsyy,33,745,+56,1.12,1.03
ECLOT,Dytor,33,745,-47,0.91,0.92
ECLOT,nbqq,31,709,-78,0.85,0.92
ECLOT,manguss,12,276,+7,1.04,1.06
ECLOT,M1key,33,745,-107,0.81,0.90
ECLOT,realzen,5,100,-21,0.73,0.82
ECLOT,The eLiVe,18,405,-96,0.68,0.78
MIBR,insani,38,835,-21,0.96,1.04
Nemiga,khaN,34,776,+66,1.14,1.06
BetBoom,Magnojez,39,920,+23,1.04,1.12
Astrum,m1QUSE,2,41,+13,1.54,1.54
MIBR,saffee,38,835,-13,0.98,0.93
MIBR,brnz4n,38,835,-81,0.86,0.89
MIBR,exit,38,835,-46,0.91,0.88
MIBR,nicks,6,125,-19,0.77,0.75
MIBR,Lucaozy,32,710,-36,0.92,0.94
Nemiga,Xant3r,34,776,-24,0.96,1.03
Nemiga,sowalio,11,254,-1,0.99,0.98
Nemiga,riskyb0b,34,776,-72,0.86,0.93
Nemiga,1eeR,34,776,-97,0.82,0.89
BetBoom,S1ren,39,920,+28,1.05,1.04
BetBoom,Ax1Le,39,920,-69,0.89,0.96
BetBoom,Boombl4,39,920,-100,0.84,0.93
BetBoom,ArtFr0st,14,317,+63,1.35,1.13
Astrum,gr1ks,53,1219,+163,1.21,1.12
Astrum,Patsi,53,1219,-79,0.91,1.00
Astrum,KENSI,53,1219,-79,0.90,0.97
Astrum,clax,51,1178,-52,0.93,0.96
Astrum,Norwi,53,1219,-146,0.83,0.93
Nemiga,zweih,23,522,+41,1.12,1.11
BetBoom,zorte,25,603,+66,1.18,1.09
OG,nicoodoz,33,707,+80,1.18,1.08
Wildcard,susp,29,612,-60,0.87,0.98
OG,F1KU,32,683,-31,0.93,0.97
OG,spooke,33,707,-59,0.88,0.96
OG,Chr1zN,33,707,-67,0.86,0.91
OG,adamb,9,191,-28,0.79,0.88
Wildcard,Sonic,29,612,-61,0.87,0.97
Wildcard,JBa,29,612,-50,0.88,0.93
Wildcard,fr3nd,5,88,-16,0.76,0.80
Wildcard,Peeping,5,88,-33,0.51,0.59
Wildcard,phzy,24,524,+33,1.10,1.06
Wildcard,stanislaw,24,524,-146,0.63,0.74
OG,arrozdoce,1,24,-2,0.87,1.08
OG,Buzz,24,516,-68,0.81,0.88
Aurora,XANTARES,39,828,+69,1.13,1.18
Aurora,Wicadia,39,828,+27,1.05,1.08
Aurora,woxic,39,828,+42,1.08,1.01
Aurora,jottAAA,39,828,-29,0.95,0.97
Aurora,MAJ3R,39,828,-119,0.78,0.87
ECSTATIC,sirah,43,917,+83,1.14,1.11
ECSTATIC,Anlelele,43,917,+5,1.01,1.06
ECSTATIC,nut nut,43,917,+29,1.05,1.04
ECSTATIC,Kristou,43,917,+11,1.02,1.01
ECSTATIC,TMB,43,917,-134,0.80,0.92
paiN,nqz,45,948,+89,1.16,1.06
3DMAX,Maka,33,730,+38,1.08,1.05
paiN,dgt,37,789,+30,1.06,1.02
paiN,dav1deuS,45,948,-22,0.97,1.01
paiN,biguzera,41,866,-86,0.85,0.94
paiN,snow,45,948,-68,0.89,0.93
paiN,deemO,4,82,-5,0.91,0.87
paiN,rikz,8,159,-65,0.47,0.58
3DMAX,bodyy,33,730,-50,0.90,0.99
3DMAX,Ex3rcice,33,730,-2,1.00,0.98
3DMAX,Lucky,33,730,-31,0.94,0.97
3DMAX,Graviti,33,730,-82,0.84,0.90
FlyQuest,regali,32,677,+67,1.16,1.08
BIG,hyped,41,878,+16,1.03,0.99
FlyQuest,nettik,32,677,-1,1.00,1.06
FlyQuest,Vexite,32,677,-58,0.88,0.95
FlyQuest,INS,32,677,-104,0.79,0.90
FlyQuest,Liazz,32,677,-84,0.82,0.87
BIG,Krimbo,41,878,-28,0.95,0.97
BIG,kyuubii,41,878,-71,0.89,0.95
BIG,JDC,41,878,-77,0.88,0.95
BIG,tabseN,41,878,-87,0.86,0.94
Astralis,stavn,35,756,+58,1.12,1.16
Astralis,device,35,756,+88,1.19,1.13
Astralis,Staehr,35,756,+36,1.08,1.08
Astralis,jabbi,35,756,+11,1.02,1.02
Astralis,HooXi,35,756,-63,0.88,0.95
Natus Vincere,w0nderful,32,712,+70,1.16,1.09
Natus Vincere,iM,32,712,+5,1.01,1.05
Natus Vincere,b1t,32,712,-2,1.00,1.03
Natus Vincere,Aleksib,32,712,-58,0.87,0.94
9INE,faveN,46,1011,+16,1.02,1.05
9INE,kraghen,46,1011,-91,0.88,1.00
9INE,cej0t,4,92,-18,0.76,0.92
9INE,raalz,46,1011,-128,0.82,0.88
Nexus,s0und,34,804,+54,1.10,1.11
Nexus,XELLOW,34,804,+77,1.15,1.10
Natus Vincere,jL,32,712,-4,0.99,1.06
9INE,phzy,1,24,+6,1.40,1.16
9INE,MoDo,16,352,+31,1.14,1.06
9INE,noni,3,68,-6,0.88,0.94
9INE,bobeksde,42,919,-100,0.85,0.93
9INE,mantuu,26,567,-18,0.95,0.93
Nexus,lauNX,34,804,-10,0.98,1.01
Nexus,BTN,34,804,-223,0.63,0.76
Nexus,ragga,34,804,-73,0.88,0.93
FURIA,molodoy,46,957,+148,1.27,1.12
FURIA,KSCERATO,46,957,+73,1.13,1.12
FURIA,yuurih,46,957,+80,1.14,1.10
FURIA,YEKINDAR,46,957,-17,0.97,1.08
FURIA,FalleN,46,957,-39,0.94,0.96
fnatic,blameF,47,1012,+167,1.27,1.21
fnatic,jambo,47,1012,+93,1.14,1.13
fnatic,KRIMZ,47,1012,-17,0.97,1.02
fnatic,fear,47,1012,-114,0.83,0.91
fnatic,MATYS,42,902,+73,1.12,1.17
fnatic,zeRRoFIX,5,110,-21,0.73,0.77
The MongolZ,Senzu,46,1000,+91,1.14,1.15
The MongolZ,910,46,1000,+72,1.11,1.08
The MongolZ,bLitz,46,1000,-27,0.96,1.03
The MongolZ,mzinho,46,1000,-29,0.96,1.02
The MongolZ,Techno,46,1000,-119,0.82,0.91
TNL,cairne,60,1364,+105,1.11,1.16
TNL,Dawy,60,1364,+115,1.13,1.16
TNL,nifee,60,1364,+82,1.09,1.10
TNL,Flierax,60,1364,+108,1.13,1.06
TNL,onic,60,1364,-127,0.86,0.93
G2,malbsMd,31,691,+7,1.01,1.15
G2,HeavyGod,31,691,+74,1.17,1.15
G2,huNter-,18,415,+27,1.10,1.05
G2,hades,31,691,+46,1.11,1.02
G2,Snax,31,691,-74,0.84,0.92
G2,TaZ,13,276,-39,0.78,0.84
PARIVISION,Jame,64,1458,+284,1.36,1.18
PARIVISION,nota,64,1458,+41,1.04,1.07
PARIVISION,xiELO,24,536,+23,1.07,1.04
PARIVISION,BELCHONOKK,64,1458,-32,0.97,1.04
PARIVISION,AW,20,459,-50,0.83,0.87
PARIVISION,Qikert,44,999,-25,0.96,1.01
PARIVISION,TRAVIS,40,922,-43,0.93,0.93
TYLOO,JamYoung,48,1071,+167,1.24,1.26
TYLOO,Mercury,48,1071,+49,1.07,1.10
TYLOO,Moseyuh,48,1071,+31,1.05,1.08
TYLOO,Jee,41,915,+85,1.16,1.06
TYLOO,Attacker,48,1071,-26,0.96,1.01
TYLOO,zhokiNg,7,156,-21,0.79,0.87
Passion UA,Kvem,84,1897,+134,1.10,1.18
Passion UA,Woro2k,84,1897,+205,1.17,1.13
Passion UA,DemQQ,84,1897,+50,1.04,1.03
Passion UA,jackasmo,84,1897,-95,0.93,0.95
Passion UA,Topa,84,1897,-134,0.90,0.95
NAVI Junior,makazze,31,637,+42,1.09,1.19
NAVI Junior,dem0n,31,637,+58,1.14,1.14
NAVI Junior,dziugss,31,637,+10,1.02,1.07
NAVI Junior,cmtry,31,637,+35,1.09,1.04
NAVI Junior,Krabeni,31,637,-24,0.95,1.02
Iberian Soul,mopoz,41,900,+52,1.08,1.13
Iberian Soul,sausol,41,900,+52,1.08,1.09
Iberian Soul,alex,41,900,+25,1.04,1.07
Iberian Soul,dav1g,41,900,-82,0.87,0.95
HEROIC,tN1R,54,1169,+171,1.23,1.19
Iberian Soul,smooya,10,219,+40,1.31,1.19
Iberian Soul,phzy,6,134,+18,1.23,1.11
Iberian Soul,stadodo,25,547,-19,0.94,0.93
HEROIC,yxngstxr,54,1169,+23,1.03,1.04
HEROIC,gr1ks,6,127,0,1.00,0.95
HEROIC,nilo,6,127,-2,0.98,0.95
HEROIC,LNZ,54,1169,-102,0.87,0.95
HEROIC,xfl0ud,48,1042,+49,1.07,1.17
HEROIC,SunPayus,48,1042,+172,1.29,1.16
ENCE,sdy,51,1154,+81,1.10,1.12
ENCE,podi,51,1154,+68,1.10,1.03
ENCE,Neityu,50,1137,-12,0.98,1.03
ENCE,myltsi,4,87,-7,0.87,0.97
ENCE,gla1ve,51,1154,-101,0.86,0.90
ENCE,xKacpersky,48,1084,+111,1.15,1.23
Legacy,latto,42,898,+146,1.27,1.19
Legacy,dumau,42,898,+95,1.17,1.18
Legacy,saadzin,42,898,+93,1.19,1.08
Legacy,lux,42,898,-8,0.99,1.06
Legacy,n1ssim,42,898,+11,1.02,0.99
Ninjas in Pyjamas,r1nkle,51,1093,+264,1.40,1.24
Ninjas in Pyjamas,sjuush,51,1093,+101,1.14,1.15
Ninjas in Pyjamas,ewjerkz,51,1093,-37,0.95,1.02
Ninjas in Pyjamas,Snappi,51,1093,-130,0.83,0.92
Ninjas in Pyjamas,arrozdoce,51,1093,-70,0.90,0.96
B8,npl,40,848,+56,1.10,1.14
MOUZ,xertioN,47,1043,+34,1.05,1.14
B8,headtr1ck,40,848,+72,1.14,1.08
B8,alex666,40,848,+27,1.05,1.05
B8,esenthial,40,848,+6,1.01,1.03
MOUZ,Spinx,47,1043,+109,1.16,1.13
MOUZ,torzsi,47,1043,+121,1.20,1.07
