team_name,player_name,maps_played,rounds_played,kd_diff,kd_ratio,rating
Falcons,m0NESY,49,544,+143,1.46,1.21
Falcons,NiKo,49,544,+99,1.30,1.18
Falcons,TeSeS,49,544,+18,1.05,1.00
Falcons,kyxsan,49,544,-23,0.93,0.91
Falcons,Magisk,49,544,+48,1.15,1.04
Astralis,device,35,382,+86,1.40,1.18
Astralis,stavn,35,382,+56,1.24,1.17
Astralis,Staehr,35,382,+66,1.30,1.14
Astralis,jabbi,35,382,+8,1.03,0.99
Astralis,HooXi,35,382,-4,0.98,0.92
Virtus.pro,FL1T,36,405,+59,1.23,1.12
Virtus.pro,ICY,36,405,+60,1.27,1.01
Virtus.pro,fame,36,405,+16,1.06,0.99
Virtus.pro,electroNic,36,405,-10,0.96,0.94
Virtus.pro,Perfecto,4,48,-1,0.97,0.85
Virtus.pro,FL4MUS,32,357,-20,0.91,0.82
GamerLegion,PR,40,419,+29,1.10,1.08
GamerLegion,REZ,40,419,+30,1.11,1.05
GamerLegion,Kursy,8,85,+16,1.34,1.03
GamerLegion,Tauson,40,419,+37,1.15,1.01
GamerLegion,ztr,40,419,+9,1.03,0.96
GamerLegion,acoR,14,142,+2,1.02,0.85
FaZe,frozen,36,430,+99,1.43,1.17
Lynn Vision,z4kr,47,509,+125,1.43,1.19
GamerLegion,sl3nd,18,192,-12,0.90,0.82
FaZe,EliGE,36,430,+30,1.11,1.07
FaZe,rain,29,343,+30,1.14,1.04
FaZe,broky,14,177,+20,1.21,0.98
Lynn Vision,Westmelon,47,509,+53,1.16,1.10
Lynn Vision,EmiliaQAQ,47,509,+35,1.11,1.01
Lynn Vision,Starry,47,509,+10,1.03,1.00
Lynn Vision,C4LLM3SU3,47,509,-14,0.95,0.88
FaZe,karrigan,36,430,-40,0.86,0.86
FaZe,s1mple,22,253,+40,1.27,1.13
FaZe,skullz,7,87,-15,0.75,0.77
Nemiga,Xant3r,34,374,+21,1.08,1.04
Nemiga,khaN,34,374,+46,1.21,1.00
Nemiga,sowalio,11,129,+3,1.04,0.93
Nemiga,riskyb0b,34,374,-24,0.90,0.91
Nemiga,1eeR,34,374,-22,0.91,0.89
Nemiga,zweih,23,245,+36,1.24,1.08
BetBoom,Magnojez,39,471,+81,1.28,1.21
Astrum,gr1ks,53,613,+127,1.35,1.11
BetBoom,S1ren,39,471,+66,1.24,1.09
BetBoom,Ax1Le,39,471,+30,1.11,1.08
BetBoom,Boombl4,39,471,+13,1.04,1.01
BetBoom,ArtFr0st,14,162,+70,1.89,1.33
BetBoom,zorte,25,309,+76,1.45,1.19
Astrum,m1QUSE,2,19,0,1.00,1.09
Astrum,KENSI,53,613,+20,1.05,1.00
Astrum,Patsi,53,613,-25,0.94,0.95
Astrum,clax,51,594,+16,1.04,0.95
Astrum,Norwi,53,613,-39,0.91,0.91
ECLOT,forsyy,33,374,+47,1.21,1.00
Aurora,XANTARES,39,421,+90,1.36,1.24
ECSTATIC,sirah,43,440,+115,1.46,1.22
ECLOT,nbqq,31,351,+23,1.10,1.00
ECLOT,Dytor,33,374,-12,0.95,0.87
ECLOT,manguss,12,135,+4,1.04,0.99
ECLOT,M1key,33,374,-45,0.83,0.88
Aurora,Wicadia,39,421,+47,1.17,1.10
Aurora,woxic,39,421,+41,1.16,1.02
Aurora,jottAAA,39,421,+26,1.10,0.97
ECSTATIC,Anlelele,43,440,+57,1.22,1.15
ECSTATIC,Kristou,43,440,+83,1.34,1.13
ECSTATIC,nut nut,43,440,+52,1.21,1.04
ECSTATIC,TMB,43,440,-7,0.98,0.98
ECLOT,The eLiVe,18,210,-35,0.77,0.81
ECLOT,realzen,5,52,-12,0.68,0.69
Aurora,MAJ3R,39,421,-1,1.00,0.94
OG,nicoodoz,33,367,+79,1.35,1.14
Wildcard,susp,29,297,+8,1.04,1.04
OG,Chr1zN,33,367,-4,0.98,0.95
OG,spooke,33,367,-15,0.94,0.95
OG,F1KU,32,355,-5,0.98,0.92
OG,adamb,9,104,-10,0.87,0.88
OG,arrozdoce,1,12,+1,1.17,0.99
OG,Buzz,24,263,-8,0.95,0.91
Wildcard,Sonic,29,297,-15,0.93,0.99
Wildcard,JBa,29,297,+7,1.04,0.95
Wildcard,fr3nd,5,40,-6,0.81,0.72
Wildcard,Peeping,5,40,-9,0.69,0.66
Wildcard,phzy,24,257,+41,1.26,1.13
Wildcard,stanislaw,24,257,-46,0.75,0.78
paiN,nqz,45,502,+114,1.42,1.14
3DMAX,Maka,33,362,+50,1.23,1.07
FlyQuest,nettik,32,319,+60,1.32,1.17
BIG,Krimbo,41,420,+80,1.34,1.15
paiN,dav1deuS,45,502,+33,1.10,1.03
paiN,biguzera,41,454,-15,0.95,0.94
paiN,snow,45,502,+2,1.01,0.92
paiN,dgt,37,422,+3,1.01,0.90
paiN,deemO,4,48,+10,1.36,1.10
paiN,rikz,8,80,-28,0.55,0.57
3DMAX,bodyy,33,362,+23,1.10,1.03
3DMAX,Lucky,33,362,+20,1.09,1.00
3DMAX,Ex3rcice,33,362,+7,1.03,0.93
3DMAX,Graviti,33,362,-9,0.96,0.89
FlyQuest,Vexite,32,319,+35,1.17,1.11
FlyQuest,regali,32,319,+61,1.34,1.09
FlyQuest,INS,32,319,-22,0.90,0.93
FlyQuest,Liazz,32,319,-7,0.96,0.91
BIG,hyped,41,420,+68,1.27,1.08
BIG,tabseN,41,420,+31,1.12,1.06
BIG,JDC,41,420,+5,1.02,0.98
BIG,kyuubii,41,420,-4,0.99,0.97
FURIA,molodoy,46,482,+123,1.47,1.15
FURIA,KSCERATO,46,482,+89,1.34,1.14
FURIA,YEKINDAR,46,482,+29,1.09,1.11
FURIA,yuurih,46,482,+40,1.14,1.02
FURIA,FalleN,46,482,+31,1.11,0.96
fnatic,blameF,47,492,+126,1.45,1.22
fnatic,jambo,47,492,+76,1.25,1.10
fnatic,KRIMZ,47,492,+16,1.06,1.00
fnatic,fear,47,492,-12,0.96,0.97
fnatic,MATYS,42,439,+87,1.31,1.21
fnatic,zeRRoFIX,5,53,+1,1.03,0.89
Natus Vincere,w0nderful,32,338,+50,1.26,1.07
9INE,cej0t,4,41,-7,0.79,0.95
Nexus,lauNX,34,416,+27,1.09,1.01
Natus Vincere,iM,32,338,+25,1.12,1.04
Natus Vincere,b1t,32,338,+29,1.14,1.04
Natus Vincere,Aleksib,32,338,-5,0.97,0.90
