team_name,date,event,opponent,map_name,result_score,win_lose
Vitality,17/07/25,ESL Pro League Season 22 Europe Closed Qualifier,PARIVISION,Mirage,13 - 9,W
Vitality,17/07/25,ESL Pro League Season 22 Europe Closed Qualifier,PARIVISION,Dust2,13 - 7,W
Vitality,16/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Nemiga,Ancient,13 - 8,W
Vitality,16/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Nemiga,Dust2,14 - 16,L
Vitality,16/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Nemiga,Mirage,13 - 7,W
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Sashi,Ancient,16 - 14,W
Spirit,20/07/25,FISSURE Playground 1,TYLOO,Ancient,10 - 13,L
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Sashi,Mirage,13 - 8,W
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Sashi,Nuke,11 - 13,L
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Passion UA,Dust2,13 - 6,W
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Passion UA,Train,16 - 19,L
Vitality,15/07/25,ESL Pro League Season 22 Europe Closed Qualifier,Passion UA,Mirage,13 - 8,W
Spirit,20/07/25,FISSURE Playground 1,TYLOO,Mirage,14 - 16,L
Spirit,20/07/25,FISSURE Playground 1,TYLOO,Nuke,4 - 13,L
Spirit,20/07/25,FISSURE Playground 1,TYLOO,Inferno,13 - 10,W
Spirit,19/07/25,FISSURE Playground 1,BetBoom,Nuke,13 - 8,W
Legacy,20/07/25,FISSURE Playground 1,TYLOO,Ancient,10 - 13,L
Vitality,14/07/25,ESL Pro League Season 22 Europe Closed Qualifier,9INE,Anubis,13 - 9,W
Vitality,14/07/25,ESL Pro League Season 22 Europe Closed Qualifier,9INE,Ancient,14 - 16,L
Vitality,14/07/25,ESL Pro League Season 22 Europe Closed Qualifier,9INE,Dust2,13 - 3,W
Vitality,12/07/25,EEF European Esports Championship 2025,Denmark,Train,13 - 4,W
Vitality,12/07/25,EEF European Esports Championship 2025,Denmark,Ancient,13 - 10,W
Vitality,22/06/25,Galaxy Battle 2025 Phase 3,Nexus,Anubis,14 - 16,L
Spirit,19/07/25,FISSURE Playground 1,BetBoom,Mirage,13 - 10,W
Legacy,20/07/25,FISSURE Playground 1,TYLOO,Mirage,14 - 16,L
Legacy,20/07/25,FISSURE Playground 1,TYLOO,Nuke,4 - 13,L
Legacy,20/07/25,FISSURE Playground 1,TYLOO,Inferno,13 - 10,W
Legacy,19/07/25,FISSURE Playground 1,BetBoom,Nuke,13 - 8,W
Vitality,22/06/25,Galaxy Battle 2025 Phase 3,Nexus,Dust2,13 - 8,W
Vitality,22/06/25,Galaxy Battle 2025 Phase 3,Nexus,Ancient,10 - 13,L
Vitality,22/06/25,Exort The Proving Grounds Season 1,fnatic,Mirage,13 - 5,W
Vitality,22/06/25,Exort The Proving Grounds Season 1,fnatic,Train,22 - 20,W
Spirit,18/07/25,FISSURE Playground 1,Lynn Vision,Dust2,16 - 13,W
Spirit,18/07/25,FISSURE Playground 1,Lynn Vision,Nuke,13 - 2,W
Spirit,17/07/25,FISSURE Playground 1,MIBR,Nuke,13 - 11,W
Spirit,17/07/25,FISSURE Playground 1,MIBR,Mirage,13 - 6,W
Legacy,19/07/25,FISSURE Playground 1,BetBoom,Mirage,13 - 10,W
Legacy,18/07/25,FISSURE Playground 1,Lynn Vision,Dust2,16 - 13,W
Legacy,18/07/25,FISSURE Playground 1,Lynn Vision,Nuke,13 - 2,W
Legacy,17/07/25,FISSURE Playground 1,MIBR,Nuke,13 - 11,W
Legacy,17/07/25,FISSURE Playground 1,MIBR,Mirage,13 - 6,W
Vitality,22/06/25,Exort The Proving Grounds Season 1,fnatic,Ancient,11 - 13,L
Spirit,16/07/25,FISSURE Playground 1,TYLOO,Inferno,6 - 13,L
Spirit,16/07/25,FISSURE Playground 1,TYLOO,Nuke,13 - 8,W
Spirit,16/07/25,FISSURE Playground 1,TYLOO,Mirage,9 - 13,L
Spirit,15/07/25,FISSURE Playground 1,MIBR,Ancient,13 - 5,W
Spirit,15/07/25,FISSURE Playground 1,MIBR,Nuke,13 - 7,W
Legacy,16/07/25,FISSURE Playground 1,TYLOO,Inferno,6 - 13,L
Legacy,16/07/25,FISSURE Playground 1,TYLOO,Nuke,13 - 8,W
Legacy,16/07/25,FISSURE Playground 1,TYLOO,Mirage,9 - 13,L
Legacy,15/07/25,FISSURE Playground 1,MIBR,Ancient,13 - 5,W
Vitality,21/06/25,CCT Season 3 Europe Series 3,Ninjas in Pyjamas,Dust2,8 - 13,L
Vitality,21/06/25,CCT Season 3 Europe Series 3,Ninjas in Pyjamas,Nuke,2 - 13,L
Vitality,21/06/25,Exort The Proving Grounds Season 1,Betclic,Dust2,13 - 6,W
Spirit,18/05/25,PGL Astana 2025,Spirit,Train,13 - 16,L
Spirit,18/05/25,PGL Astana 2025,Spirit,Mirage,13 - 5,W
Spirit,18/05/25,PGL Astana 2025,Spirit,Nuke,10 - 13,L
Legacy,15/07/25,FISSURE Playground 1,MIBR,Nuke,13 - 7,W
Legacy,18/05/25,PGL Astana 2025,Spirit,Train,13 - 16,L
Legacy,18/05/25,PGL Astana 2025,Spirit,Mirage,13 - 5,W
Legacy,18/05/25,PGL Astana 2025,Spirit,Nuke,10 - 13,L
Vitality,21/06/25,Exort The Proving Grounds Season 1,Betclic,Train,3 - 13,L
Vitality,21/06/25,Exort The Proving Grounds Season 1,Betclic,Nuke,13 - 2,W
